"MRC 
Table A

Core SD-WAN_Unnamed: 0_level_1_City","MRC 
Table A

Core SD-WAN_Unnamed: 1_level_1_Tax
(%)","MRC 
Table A

Core SD-WAN_Unnamed: 2_level_1_Tax & Transporation","MRC 
Table A

Core SD-WAN_Unnamed: 3_level_1_CPE 
Band-width 
(Mbps)","MRC 
Table A

Core SD-WAN_Unnamed: 4_level_1_Band-width 
Range","VE2000
Need extra accessories_GM Price_MRC
(USD)","VE1000
Need extra accessories_Unnamed: 6_level_1_Unnamed: 6_level_2",VE100b_Unnamed: 7_level_1_Unnamed: 7_level_2,"ISR-4451
Need extra accessories_Unnamed: 8_level_1_Unnamed: 8_level_2","ISR-4431
Need extra accessories_Unnamed: 9_level_1_Unnamed: 9_level_2","ISR-4331
Need extra accessories_Unnamed: 10_level_1_Unnamed: 10_level_2",C1111-8PLTE_Unnamed: 11_level_1_Unnamed: 11_level_2,C1111X-8P_Unnamed: 12_level_1_Unnamed: 12_level_2,ISR1100X-6G_Unnamed: 13_level_1_Unnamed: 13_level_2,ISR1100-4GLTEGB_Unnamed: 14_level_1_Unnamed: 14_level_2,ISR1100-4G_Unnamed: 15_level_1_Unnamed: 15_level_2,"ASR-1001X
Need extra accessories_Unnamed: 16_level_1_Unnamed: 16_level_2","vCPE
vEdgeCloud_Unnamed: 17_level_1_Unnamed: 17_level_2","vCPE
CSR1kv_Unnamed: 18_level_1_Unnamed: 18_level_2","Cisco
Advance License for CPE_GM Price_MRC
(USD)",Premimun License for CPE_Unnamed: 20_level_1_Unnamed: 20_level_2,"Cisco Advance License for Shared GW_GM Price_MRC
(USD)","Cisco
Advance
License for dedicateGW_Unnamed: 22_level_1_MRC
(USD)","MPLS-VPN
 for GW_Unnamed: 23_level_1_MRC
(USD)","Internet
for GW_Unnamed: 24_level_1_MRC
(USD)"
,,,50,26-50Mb,337.9996498767347,78.86080532117916,38.17658665451248,544.9512994680647,379.90859433178537,134.5381741481152,82.12085114550575,71.36421180720608,100.37291037673471,55.454807710068046,47.0194832656236,,32.890314821179146,71.29142593229025,130.51490363636356,261.0298072727271,,156.61788436363608,429.62851612565333,202.03720503195632
,,,100,51-100Mb,337.9996498767347,78.86080532117916,,544.9512994680647,379.90859433178537,134.5381741481152,82.12085114550575,71.36421180720608,100.37291037673471,55.454807710068046,47.0194832656236,,32.890314821179146,71.29142593229025,256.9917558888889,513.9835117777778,0.0,282.6909314777778,859.2570322513067,404.07441006391264
,,,250,101-250Mb,337.9996498767347,,,544.9512994680647,379.90859433178537,134.5381741481152,,,100.37291037673471,,,,32.890314821179146,71.29142593229025,345.1875877777779,690.3751755555558,0.0,362.4469671666667,2681.2851612565337,1010.1860251597817
,,,500,251-500Mb,337.9996498767347,,,544.9512994680647,379.90859433178537,,,,,,,,32.890314821179146,71.29142593229025,421.98981000000015,843.9796200000003,0.0,464.188791,4296.285161256534,2020.3720503195634
"5

Singapore  
",0.07,0.13,5,< 5,,78.86080532117916,38.17658665451248,,,,82.12085114550575,71.36421180720608,,55.454807710068046,47.0194832656236,,32.890314821179146,,52.59032166666667,105.18064333333334,,52.59032166666667,6.460000000000001,20.203720503195633
,,,10,6-10Mb,,78.86080532117916,38.17658665451248,,,,82.12085114550575,71.36421180720608,,55.454807710068046,47.0194832656236,,32.890314821179146,,52.59032166666667,105.18064333333334,,63.108386,12.920000000000002,40.40744100639127
,,,15,11-15Mb,,78.86080532117916,38.17658665451248,,,,82.12085114550575,71.36421180720608,,55.454807710068046,47.0194832656236,,32.890314821179146,,85.80950600000001,153.52764222222225,,94.39045659999975,19.380000000000003,60.6111615095869
,,,25,11-25Mb,337.9996498767347,78.86080532117916,38.17658665451248,544.9512994680647,379.90859433178537,134.5381741481152,82.12085114550575,71.36421180720608,100.37291037673471,55.454807710068046,47.0194832656236,,32.890314821179146,,105.49745250000004,210.99490500000007,,110.77232512500001,32.300000000000004,101.01860251597816
,,,50,26-50Mb,337.9996498767347,78.86080532117916,38.17658665451248,544.9512994680647,379.90859433178537,134.5381741481152,82.12085114550575,71.36421180720608,100.37291037673471,55.454807710068046,47.0194832656236,,32.890314821179146,71.29142593229025,130.51490363636356,261.0298072727271,,156.61788436363608,64.60000000000001,202.03720503195632
,,,100,51-100Mb,337.9996498767347,78.86080532117916,,544.9512994680647,379.90859433178537,134.5381741481152,82.12085114550575,71.36421180720608,100.37291037673471,55.454807710068046,47.0194832656236,,32.890314821179146,71.29142593229025,256.9917558888889,513.9835117777778,0.0,282.6909314777778,129.20000000000002,404.07441006391264
